name,affiliation,homepage,scholarid,turing_award,acm_fellow,region,country,begin_time,end_time
Luis Ceze,University of Washington,https://www.cs.washington.edu/people/faculty/luisceze,KzESVKwAAAAJ,0,1,america,us,2013,2023.0
Luis Garcia 0001,University of Utah,https://lagarcia.us,F6Gzg9gAAAAJ,0,0,america,us,2014,2022.0
Luis Gravano,Columbia University,http://www.cs.columbia.edu/~gravano,Ff6era8AAAAJ,0,0,america,us,2018,2023.0
Luis Rademacher,"University of California, Davis",https://www.math.ucdavis.edu/~lrademac,wNqCOAEAAAAJ,0,0,america,us,2007,2019.0
Lujo Bauer,Carnegie Mellon University,http://www.ece.cmu.edu/~lbauer,5cJzDZEAAAAJ,0,0,america,us,2016,2021.0
Lukasz A. Kurgan,Virginia Commonwealth University,http://biomine.cs.vcu.edu,zXw_54AAAAAJ,0,0,america,us,2017,2023.0
Luke J. Lee,"University of California, Berkeley",http://biopoets.berkeley.edu,xADN4DUAAAAJ,0,0,america,us,2005,2022.0
Luke Zettlemoyer,University of Washington,https://www.cs.washington.edu/people/faculty/lsz,UjpbO6IAAAAJ,0,0,america,us,2011,2023.0
Lunjin Lu,Oakland University,http://www.secs.oakland.edu/~l2lu,HkY25zMAAAAJ,0,0,america,us,2010,2020.0
Lydia B. Chilton,Columbia University,https://www.cs.columbia.edu/~chilton,RpxD-7QAAAAJ,0,0,america,us,2009,2020.0
Lydia E. Kavraki,Rice University,http://www.cs.rice.edu/~kavraki,Q6pxNZYAAAAJ,0,1,america,us,2006,2019.0
Lydia T. Liu,Princeton University,https://www.cs.princeton.edu/people/profile/ltliu,IQ2eTA8AAAAJ,0,0,america,us,2005,2023.0
Lydia Tapia,University of New Mexico,http://www.cs.unm.edu/~tapia,V2LAAxUAAAAJ,0,0,america,us,2003,2019.0
Lyle H. Ungar,University of Pennsylvania,http://www.cis.upenn.edu/~ungar,KCiDjbkAAAAJ,0,0,america,us,2004,2023.0
M. Ani Hsieh,University of Pennsylvania,https://www.grasp.upenn.edu/people/ani-hsieh,Bh8bGCYAAAAJ,0,0,america,us,2017,2020.0
M. Brian Blake,Drexel University,http://drexel.edu/cci/contact/Faculty/Blake-MBrian,yviVLyIAAAAJ,0,0,america,us,2012,2023.0
M. Hadi Amini,Florida International University,https://sites.google.com/site/hadiaminihomepage/home,E84r_bUAAAAJ,0,0,america,us,2013,2021.0
M. Mustafa Rafique,Rochester Institute of Technology,https://cs.rit.edu/~mrafique,utSvhGEAAAAJ,0,0,america,us,2005,2021.0
M. Sazadur Rahman,University of Central Florida,https://www.cs.ucf.edu/person/sazadur-rahman,HH6Bh2UAAAAJ,0,0,america,us,2010,2020.0
Maarten Sap,Carnegie Mellon University,https://maartensap.com,gFN4QUYAAAAJ,0,0,america,us,2017,2020.0
Maciej A. Mazurowski,Duke University,https://sites.duke.edu/mazurowski,HlxjJPQAAAAJ,0,0,america,us,2002,2023.0
Madhav V. Marathe,University of Virginia,https://engineering.virginia.edu/faculty/madhav-marathe,cLjMQqsAAAAJ,0,0,america,us,2014,2023.0
Madhavan Swaminathan,Georgia Institute of Technology,https://sites.gatech.edu/ien-prc/dr-madhavan-swaminathan,jkhJfqQAAAAJ,0,0,america,us,2000,2019.0
Madhu Sudan 0001,Harvard University,http://madhu.seas.harvard.edu,D-RwB3YAAAAJ,0,0,america,us,2018,2023.0
Madhur Behl,University of Virginia,https://engineering.virginia.edu/faculty/madhur-behl,bj_imaYAAAAJ,0,0,america,us,2014,2020.0
Mae Milano,Princeton University,https://www.cs.princeton.edu/~mpmilano,1XP8XcAAAAAJ,0,0,america,us,2016,2022.0
Magdalena Balazinska,University of Washington,http://www.cs.washington.edu/people/faculty/magda,DDxFvcIAAAAJ,0,1,america,us,2006,2023.0
Magy Seif El-Nasr,"University of California, Santa Cruz",https://magyel-nasr.net,SwzKJ0kAAAAJ,0,0,america,us,2001,2019.0
Mahadev Satyanarayanan,Carnegie Mellon University,https://www.cs.cmu.edu/~satya,0y6JDD4AAAAJ,0,1,america,us,2002,
Mahdi Khodayar,University of Tulsa,https://utulsa.edu/people/mahdi-khodayar,GIn1dpUAAAAJ,0,0,america,us,2005,2020.0
Mahdi N. Al-Ameen,Utah State University,https://www.usu.edu/cs/directory/faculty/al-ameen-mahdi,5Crt8x4AAAAJ,0,0,america,us,2008,2020.0
Mahdi Soltanolkotabi,University of Southern California,https://viterbi-web.usc.edu/~soltanol,narJyMAAAAAJ,0,0,america,us,2005,2022.0
Mahsa Derakhshan,Northeastern University,https://www.khoury.northeastern.edu/home/derakhshan,fkGRlH0AAAAJ,0,0,america,us,2014,2020.0
Mahsa Mirzargar,University of Miami,https://ccs.miami.edu/team_member/mahsa-mirzargar-phd,nm7Oe6sAAAAJ,0,0,america,us,2010,2020.0
